8,21,13
19,8,5
21,18,12
16,14,1
9,5,10
14,16,2
14,3,13
6,13,12
16,3,17
21,16,3
10,19,2
19,15,16
15,14,2
10,17,12
3,16,2
12,2,4
2,19,11
6,12,5
1,12,14
4,5,8
20,12,17
19,10,20
16,12,3
13,16,15
21,14,11
4,13,20
4,13,8
9,13,18
17,13,12
19,15,14
12,22,16
14,19,20
3,12,1
1,10,15
10,20,5
7,15,9
1,14,9
1,14,10
21,16,2
18,14,19
19,20,2
3,19,22
6,16,13
15,6,12
14,12,20
3,4,17
17,22,6
3,13,10
1,17,10
1,14,6
21,16,12
10,21,7
13,8,10
8,5,3
7,3,18
6,2,8
11,1,21
7,6,2
11,17,16
17,4,21
5,14,15
5,16,18
8,6,12
20,3,1
19,15,2
17,14,8
12,16,1
14,22,10
12,16,3
13,5,4
12,22,7
18,13,12
10,14,16
16,15,20
4,5,12
11,1,3
10,6,12
19,5,9
14,16,18
14,12,4
17,21,18
22,13,18
19,14,15
6,3,13
9,1,4
17,13,22
8,9,5
2,22,1
12,10,22
9,19,22
17,22,1
17,2,22
20,22,4
8,14,15
14,16,22
21,1,22
8,3,14
10,19,2
2,1,5
19,3,8
17,19,12
22,11,15
19,4,14
12,11,4
13,10,22
12,20,1
20,17,13
4,22,14
5,17,14
20,10,19
21,14,9
18,11,3
1,9,4
9,3,22
6,10,16
5,16,20
14,2,1
6,4,18
3,22,11
10,22,18
12,8,13
11,1,9
10,14,20
13,21,22
14,12,8
15,3,13
11,1,9
5,1,12
11,12,9
6,12,13
11,20,14
19,2,1
1,3,4
18,4,13
7,15,2
16,17,13
1,22,19
4,1,3
15,12,8
3,20,11
13,16,11
1,22,11
5,9,1
18,22,14
19,2,15
16,20,10
16,11,1
18,13,21
2,3,16
9,16,13
12,15,10
21,10,17
10,12,1
20,12,16
22,14,16
22,13,6
22,6,1
20,6,11
11,18,16
4,10,22
10,12,4
20,14,2
16,6,8
3,13,14
17,4,19
22,12,1
22,6,2
21,14,18
3,16,12
17,12,8
16,17,20
12,1,10
16,19,20
1,12,2
19,3,9
2,7,4
19,9,22
1,12,22
14,12,16
14,1,22
15,1,21
9,4,11
3,6,13
17,8,12
1,19,4
7,6,22
12,13,22
15,1,13
15,1,7
15,8,22
16,18,12
4,3,1
19,12,8
13,7,20
7,18,10
21,14,16
5,9,16
8,22,12
2,16,14
21,11,14
6,10,12
8,15,6
18,16,5
1,12,10
2,8,6
15,3,7
11,20,2
1,10,9
19,6,16
2,1,6
18,22,11
1,16,22
18,21,1
2,9,6
8,9,18
4,18,16
17,12,21
3,1,8
20,18,4
8,11,14
6,8,17
2,9,11
9,6,16
14,12,10
16,14,1
22,16,1
17,22,5
19,11,4
21,18,22
1,13,3
18,3,4
1,12,4
10,1,20
12,3,2
1,4,19
6,1,18
22,1,16
18,15,9
18,5,20
13,18,7
1,6,9
10,11,20
20,5,14
17,12,16
19,15,14
1,2,3
17,11,14
11,16,12
21,3,14
3,20,6
10,18,16
14,11,22
16,3,7
16,2,6
22,21,19
16,14,21
1,3,2
1,8,21
7,16,4
12,3,1
7,22,8
13,1,21
15,12,21
14,19,1
15,1,16
19,22,6
5,4,2
16,5,9
3,19,22
10,2,3
12,1,6
18,8,6
11,16,12
7,19,20
5,9,14
16,19,5
18,15,16
14,2,15
1,22,21
10,16,4
10,18,3
16,22,1
13,2,7
15,11,14
22,21,12
1,16,14
4,20,11
1,9,22
16,1,19
3,22,16
22,7,5
11,7,18
13,22,1
1,14,9
16,14,1
10,16,1
12,22,11
16,19,1
3,4,7
22,19,15
22,15,5
12,15,18
20,4,7
12,18,1
16,12,18
19,14,4
16,12,13
11,3,22
13,2,22
18,13,3
17,4,9
18,6,13
7,14,12
15,14,1
12,19,6
12,3,5
1,2,19
1,10,19
19,3,18
3,14,19
17,6,11
3,22,10
1,16,19
14,4,8
15,21,4
18,22,17
16,4,5
2,14,19
16,12,11
9,1,22
15,2,12
6,12,20
4,3,15
10,19,3
6,12,17
3,19,7
1,13,16
11,14,22
10,20,2
12,8,4
8,1,14
1,9,3
19,13,10
21,7,4
22,17,15
18,17,2
10,22,20
14,11,18
16,22,21
4,12,18
