19,10,22
11,18,12
11,19,10
7,16,18
22,21,8
6,20,3
15,1,4
16,17,21
20,22,21
10,1,14
13,10,11
18,9,3
14,3,11
11,12,3
22,11,7
7,11,3
2,16,14
1,13,19
3,17,22
2,14,9
11,3,9
21,6,3
16,13,2
3,19,10
10,8,13
7,15,9
21,22,19
1,2,5
13,5,8
12,19,7
13,4,14
5,12,6
17,10,19
3,6,5
3,1,2
22,9,3
17,10,21
12,11,13
17,15,13
4,16,9
12,22,10
7,18,10
20,17,19
12,13,10
8,18,13
19,1,21
1,5,14
12,16,10
17,22,18
14,15,12
20,5,21
17,21,2
15,18,9
9,16,14
18,13,11
5,11,10
4,5,17
18,9,20
12,14,9
15,1,10
2,20,18
20,1,15
2,21,5
21,4,20
4,15,14
7,5,12
11,21,22
14,18,4
19,21,20
8,22,4
2,9,15
16,11,1
20,6,17
20,10,17
19,15,13
3,18,21
10,20,4
19,4,7
8,9,12
16,8,9
1,22,21
22,4,10
10,22,6
1,11,21
18,1,17
21,20,15
11,10,20
2,11,19
10,6,13
20,3,12
10,18,13
6,12,13
10,6,2
4,3,16
5,10,16
2,5,17
22,15,12
6,5,2
15,19,9
14,4,9
14,19,13
9,19,8
14,15,8
12,7,9
15,5,13
3,22,20
19,15,7
8,14,22
1,11,2
1,19,5
22,1,15
15,11,6
17,16,11
9,10,3
4,7,3
3,8,6
5,9,14
5,16,17
20,4,6
11,4,6
17,18,5
4,10,17
22,19,20
2,10,13
2,13,12
19,13,15
12,13,16
11,18,19
7,21,10
20,9,2
17,15,12
4,2,15
2,5,10
7,21,14
3,14,2
11,10,1
12,8,6
6,3,21
12,5,16
14,4,11
16,20,5
12,20,16
20,15,6
3,20,5
13,4,10
22,9,5
11,10,4
5,10,3
17,10,13
6,5,2
8,4,6
9,12,20
20,6,15
7,4,8
3,1,17
7,21,4
19,18,6
13,18,11
21,4,10
1,3,10
15,6,17
10,8,1
1,10,17
10,19,18
3,21,19
1,17,2
3,6,17
13,3,18
18,8,15
3,22,5
10,22,15
19,6,5
8,21,15
1,17,8
1,18,15
1,13,9
9,14,13
1,22,15
11,10,18
6,18,19
3,9,5
16,17,12
15,8,2
21,12,6
22,7,10
19,7,14
16,8,11
8,14,3
19,12,5
13,2,17
8,12,15
12,5,8
1,15,21
20,16,3
17,9,3
20,13,7
11,6,22
7,11,2
1,17,4
21,22,16
3,19,20
17,4,1
22,4,8
20,1,19
6,16,20
7,19,20
14,18,2
6,17,2
12,14,11
19,13,15
14,16,22
1,17,3
8,15,19
22,15,10
16,19,8
8,1,3
1,12,18
14,4,9
13,22,15
9,6,5
22,10,3
14,4,18
13,5,17
12,8,19
14,8,3
22,21,20
15,17,18
10,1,12
12,21,18
17,21,16
6,7,3
20,2,22
10,17,6
12,6,22
5,17,22
5,7,20
1,21,12
2,16,21
7,22,16
10,17,14
17,16,10
3,22,18
20,3,13
9,2,22
3,10,1
2,4,11
5,17,6
18,3,11
10,8,16
17,13,22
10,19,5
19,5,14
6,18,9
19,10,9
2,15,13
14,10,13
20,5,1
4,21,20
3,4,18
12,22,1
11,2,19
3,22,17
5,4,9
20,13,19
3,15,16
6,15,21
11,1,12
16,7,17
9,1,4
4,14,12
18,4,16
2,4,16
4,12,8
6,13,20
14,7,4
18,20,17
19,3,8
9,21,15
19,7,9
9,2,17
2,16,3
18,14,22
1,16,2
14,20,15
17,2,14
12,11,18
11,4,12
2,10,17
7,8,12
15,2,13
15,1,17
9,13,7
4,19,18
20,16,6
14,2,12
19,9,1
18,22,2
12,22,5
18,21,16
7,11,19
4,9,22
15,8,6
16,21,19
3,1,14
22,18,4
6,11,18
8,11,4
8,12,18
7,18,1
21,18,6
7,19,12
3,9,1
7,17,15
15,20,5
22,13,21
10,16,4
4,17,13
7,14,3
17,10,3
22,18,21
20,3,1
5,6,1
20,11,6
11,21,6
13,1,14
2,11,14
13,5,8
10,8,11
17,19,5
6,18,11
20,19,12
5,13,8
11,6,15
9,11,3
5,10,14
1,14,3
18,14,6
1,5,11
11,1,9
6,17,10
2,1,6
10,6,2
11,22,21
3,1,5
16,20,10
2,22,18
18,12,22
20,10,6
9,21,16
20,17,3
